,,,RESET FOODS LOGO,,,,,,,,,,,,,,
Bread Spreads Traditional,681008997800,KFT PB ALL NAT SEA SALT 750G12,12,21.79,4982-MATHESON BUFFER,12/5/2017, 883 , $80.80 , $60.60 , $5.05 ,,,,,,,
Bread Spreads Traditional,681008997900,KFT PB ALL NAT HONEY 750G12,12,21.80,4982-MATHESON BUFFER,12/5/2017, 402 , $80.80 , $60.60 , $5.05 ,,,,,,,
Bread Spreads Traditional,681008997900,KFT PB ALL NAT HONEY 750G12,12,21.80,4982-MATHESON BUFFER,12/6/2017, 229 , $80.80 , $60.60 , $5.05 ,,,,,,,
CDN Condiments,570000060000,HNZ PURE MALT VIINEGAR 375ML 12,12,11.51,4042-HIGHBURY LEAMINGTON BW,12/4/2017, 18 , $14.88 , $11.16 , $0.93 ,,,,,,,
CDN Condiments,570000374400,HNZ YEL MUST GARL HERB CA 226ML 12,12,7.25,4042-HIGHBURY LEAMINGTON BW,12/5/2017," 1,068 ", $16.80 , $12.60 , $1.05 ,,,,,,,
CDN Condiments,570000374500,HNZ YELLOW MUST JALP CA 226ML 12,12,7.25,4042-HIGHBURY LEAMINGTON BW,12/2/2017, 612 , $16.80 , $12.60 , $1.05 ,,,,,,,
CDN RETAIL Frozen Meals and Snacks,467041684000,TGIF LOADED POTAT SKIN 225G 8,8,5.10,4071-COLD STORAGE TRENTON MC,1/17/2018, 731 , $30.00 , $22.50 , $2.81 ,,,,,,,
CDN RETAIL Frozen Meals and Snacks,570000366600,SOS BREAKFAST QUES CA 226G 12,12,8.08,4071-COLD STORAGE TRENTON MC,12/10/2017, 630 , $35.16 , $26.37 , $2.20 ,,,,,,,
CDN RETAIL Frozen Meals and Snacks,570000366700,SOS ENGLISH MUFF SANDWH CA 226G 12,12,7.70,4071-COLD STORAGE TRENTON MC,11/30/2017, 1 , $35.16 , $26.37 , $2.20 ,,,,,,,
CDN RETAIL Frozen Meals and Snacks,570000366700,SOS ENGLISH MUFF SANDWH CA 226G 12,12,7.70,4071-COLD STORAGE TRENTON MC,12/1/2017, 210 , $35.16 , $26.37 , $2.20 ,,,,,,,
Convenience Meals,570000037100,HNZ TOM SCE NO SALT ADDED 398ML 24,24,26.03,4042-HIGHBURY LEAMINGTON BW,10/25/2017, 210 , $21.84 , $16.38 , $0.68 ,,,,,,,
Convenience Meals,570000037100,HNZ TOM SCE NO SALT ADDED 398ML 24,24,26.03,4042-HIGHBURY LEAMINGTON BW,10/26/2017, 99 , $21.84 , $16.38 , $0.68 ,,,,,,,
Convenience Meals,570000068600,HNZ LIGHT RED KIDNEY BNS 398ML 24,24,27.51,4042-HIGHBURY LEAMINGTON BW,12/4/2017, 74 , $38.42 , $28.82 , $1.20 ,,,,,,,
Infant Feeding,570000026700,HNZ TODDLER BISCUITS 180G 24,24,12.00,4042-HIGHBURY LEAMINGTON BW,11/22/2017, 40 , $55.68 , $41.76 , $1.74 ,,,,,,,
Infant Feeding,570000296200,HNZ LK APL CIN CERL BAR 6X19.5G 12,12,4.80,4042-HIGHBURY LEAMINGTON BW,10/24/2017, 3 , $27.84 , $20.88 , $1.74 ,,,,,,,
Infant Feeding,570000340800,HNZ JR OGCHRSWCRNGRKYOG PCH 128ML 6,6,2.16,4042-HIGHBURY LEAMINGTON BW,10/23/2017, 113 , $10.38 , $7.79 , $1.30 ,,,,,,,
Infant Feeding,570000353300,HNZ BEG WAX BEANS 128ML 12,12,7.00,4042-HIGHBURY LEAMINGTON BW,10/29/2017," 1,844 ", $12.54 , $9.41 , $0.78 ,,,,,,,
Infant Feeding,570000353500,HNZ STR PEAS AND CARROTS 128ML 12,12,6.98,4042-HIGHBURY LEAMINGTON BW,11/18/2017, 74 , $12.54 , $9.41 , $0.78 ,,,,,,,
Infant Feeding,570000353800,HNZ STR PEAR JUICE 128ML 12,12,7.00,4042-HIGHBURY LEAMINGTON BW,11/14/2017," 9,236 ", $12.54 , $9.41 , $0.78 ,,,,,,,
Infant Feeding,570000354400,HNZ ST CHX CAS RICE VEG 128ML 12,12,7.00,4042-HIGHBURY LEAMINGTON BW,11/20/2017," 6,787 ", $12.54 , $9.41 , $0.78 ,,,,,,,
Infant Feeding,570000355800,HNZ JR VEGETABLE CHICKEN 213ML 12,12,10.40,4042-HIGHBURY LEAMINGTON BW,12/11/2017, 676 , $16.22 , $12.17 , $1.01 ,,,,,,,
Ketchup,570000343900,HNZ MAYO COMPONENT 750ML 12,12,23.00,4042-HIGHBURY LEAMINGTON BW,12/2/2017, 13 , $26.88 , $20.16 , $1.68 ,,,,,,,
Ketchup,570000343900,HNZ MAYO COMPONENT 750ML 12,12,23.00,4042-HIGHBURY LEAMINGTON BW,12/3/2017, 286 , $26.88 , $20.16 , $1.68 ,,,,,,,
Kraft Dinner Cups,681000069300,KD CUP WHLE WHT ORIGNAL 55G 10,10,1.94,4982-MATHESON BUFFER,11/24/2017, 234 , $12.40 , $9.30 , $0.93 ,,,,,,,
Mac & Cheese,681008935800,KRAFT DINNER 225G 1/2 MOD,160,359.83,5180-VAUDREUIL MC,11/12/2017, 18 , $964.80 , $723.60 , $4.52 ,,,,,,,
Mac & Cheese,681008935800,KRAFT DINNER 225G 1/2 MOD,160,359.83,5180-VAUDREUIL MC,11/21/2017, 2 , $964.80 , $723.60 , $4.52 ,,,,,,,
Ready To Drink Aseptic Pouch,661880043700,KOOL-AID CLEAR MOD 1.8L 384P,384,1706.81,4982-MATHESON BUFFER,12/16/2017, 1 ," $1,296.00 ", $972.00 , $2.53 ,,,,,,,
Refrigerated Dressings & Dips,622870520000,REN CAESAR FAT FREE DRSG 355ML 6,6,5.54,5180-VAUDREUIL MC,12/17/2017," 1,318 ", $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622870521300,REN CLASSIC RANCH LGHT DRSG 355ML 6,6,5.30,5180-VAUDREUIL MC,12/10/2017, 725 , $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622871120200,REN BLUE CHEESE DRESSING 355ML 6,6,5.30,5180-VAUDREUIL MC,12/9/2017, 300 , $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622871120600,REN CAESAR DRESSING 355ML 12,12,10.34,5180-VAUDREUIL MC,12/6/2017, 22 , $32.30 , $24.23 , $2.02 ,,,,,,,
Refrigerated Dressings & Dips,622871120900,REN CAESAR 1/2 FAT DRSG 355ML 12,12,10.45,5180-VAUDREUIL MC,12/2/2017, 17 , $32.30 , $24.23 , $2.02 ,,,,,,,
Refrigerated Dressings & Dips,622872120400,REN RAVIN RASPBERRY VIN 350ML 6,6,5.73,5180-VAUDREUIL MC,12/3/2017, 394 , $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622873120700,REN THAI TANGY SAUCE 350ML 6,6,6.47,5180-VAUDREUIL MC,12/16/2017, 106 , $15.80 , $11.85 , $1.98 ,,,,,,,
Refrigerated Dressings & Dips,622875651000,REN GREEK FETA LIGHT DRSG 355ML 6,6,5.51,5180-VAUDREUIL MC,12/15/2017, 407 , $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622875663800,REN FIELD BERRY POPPYSEED 350ML 6,6,5.66,5180-VAUDREUIL MC,12/18/2017, 755 , $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622875664700,REN CHEESECAKE DIP 85G 40,40,8.12,5180-VAUDREUIL MC,11/21/2017, 688 , $32.85 , $24.64 , $0.62 ,,,,,,,
Refrigerated Dressings & Dips,622876120400,REN RAVIN RASPBERRY VIN 43ML 120,120,12.93,5180-VAUDREUIL MC,12/6/2017," 1,035 ", $35.32 , $26.49 , $0.22 ,,,,,,,
Refrigerated Dressings & Dips,622876121100,REN POPPYSEED LIGHT DRSG 43ML 120,120,12.93,5180-VAUDREUIL MC,12/5/2017, 172 , $35.32 , $26.49 , $0.22 ,,,,,,,
Refrigerated Dressings & Dips,622876121300,REN CAESAR LIGHT DRESSING 43ML 120,120,11.91,5180-VAUDREUIL MC,11/27/2017, 125 , $35.32 , $26.49 , $0.22 ,,,,,,,
Refrigerated Dressings & Dips,622876121900,REN ASIAN SESAME VIN 43ML 120,120,14.29,5180-VAUDREUIL MC,11/21/2017, 687 , $35.32 , $26.49 , $0.22 ,,,,,,,
Refrigerated Dressings & Dips,622878120300,REN YOG PEPPERCORN RANCH 350ML 6,6,5.30,5180-VAUDREUIL MC,12/19/2017," 1,389 ", $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622878120400,REN POM BLUEBERRY ACAI DRSG 350ML 6,6,5.73,5180-VAUDREUIL MC,12/8/2017," 1,019 ", $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622878120500,REN YOG ROASTED GARLIC DRSG 350ML 6,6,5.21,5180-VAUDREUIL MC,12/20/2017," 1,214 ", $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated Dressings & Dips,622878120600,REN ITALIAN TUSCAN VIN 350ML 6,6,5.65,5180-VAUDREUIL MC,12/2/2017, 630 , $16.10 , $12.08 , $2.01 ,,,,,,,
Refrigerated RTE Desserts,661880039800,HRSHY RRTE PUD S'MORES4X93G 6CT,6,5.61,5180-VAUDREUIL MC,12/16/2017, 380 , $19.62 , $14.72 , $2.45 ,,,,,,,
Refrigerated RTE Desserts,661880045600,RRTE JOCS STRAW CHSCK 4X99G 6,6,5.93,5180-VAUDREUIL MC,12/21/2017, 83 , $13.20 , $9.90 , $1.65 ,,,,,,,
Salad Dressings,681000410200,CW RANCHER'S CHOICE 250ML 12,12,8.05,5180-VAUDREUIL MC,12/20/2017," 1,603 ", $21.55 , $16.16 , $1.35 ,,,,,,,
Salad Dressings,681009001700,KSD FULL MOD 475ML 992CT,992,1159.73,5180-VAUDREUIL MC,1/9/2018, 13 ," $2,799.42 "," $2,099.57 ", $2.12 ,,,,,,,
Total Liquid Concentrates,681000012400,MIO BERRY BURST ELCTRLYTE 48ML 12,12,2.39,4982-MATHESON BUFFER,12/5/2017, 768 , $36.96 , $27.72 , $2.31 ,,,,,,,
Total Liquid Concentrates,681008944500,MIO BASE MIXED PDQ 48MLX60CT,60,9.26,4982-MATHESON BUFFER,12/31/2017, 141 , $184.80 , $138.60 , $2.31 ,,,,,,,
Cream Cheese/Cheesecake,681008994500,PHIL YGRT DRINK BLUEBERRY 760ML4,4,8.16,5180-VAUDREUIL MC,11/23/2017, 66 , $16.56 , $12.42 , $3.11 ,,,,,,,
Cream Cheese/Cheesecake,681008999400,PHIL YGRT DRINK VANILLA 760ML 4,4,8.23,5180-VAUDREUIL MC,11/23/2017, 320 , $16.56 , $12.42 , $3.11 ,,,,,,,
Natural Cheese,681000024200,CB FETA CRUMBLE LT TUB 180G 12,12,5.77,5180-VAUDREUIL MC,12/22/2017, 233 , $49.20 , $36.90 , $3.08 ,,,,,,,
Natural Cheese,681000029900,PQ NAT SHRD SPR STRTCHYMOZ(2X450G)6,6,13.10,5180-VAUDREUIL MC,12/8/2017, 42 , $95.82 , $71.87 , $11.98 ,,,,,,,
Natural Cheese,681000248200,PQ MOZZ PART SKIM CHEESE270G16,16,10.03,5180-VAUDREUIL MC,12/9/2017, 83 , $86.72 , $65.04 , $4.07 ,,,,,,,
Natural Cheese,681000304800,CB MOZZ LOAF 907G 15,15,31.34,5180-VAUDREUIL MC,12/6/2017, 23 , $199.13 , $149.35 , $9.96 ,,,,,,,
Natural Cheese,681008946800,PQ PART SKIM MOZZ 400GX16,16,15.08,5180-VAUDREUIL MC,12/7/2017, 20 , $134.40 , $100.80 , $6.30 ,,,,,,,
Natural Cheese,681008947600,CB PART SKIM MOZZ 600GX16,16,22.42,5180-VAUDREUIL MC,12/16/2017, 2 , $185.28 , $138.96 , $8.69 ,,,,,,,
Natural Cheese,681008998900,PQ SHREDS  MARBLE 320G 12,12,9.31,5180-VAUDREUIL MC,12/7/2017, 61 , $78.36 , $58.77 , $4.90 ,,,,,,,
Natural Cheese,681008998900,PQ SHREDS  MARBLE 320G 12,12,9.31,5180-VAUDREUIL MC,12/21/2017, 312 , $78.36 , $58.77 , $4.90 ,,,,,,,
Recipe Cheese,681008937000,CHEEZ WHIZ MOD 900GX576,576,1690.80,5180-VAUDREUIL MC,12/22/2017, 1 ," $5,892.48 "," $4,419.36 ", $7.67 ,,,,,,,
Sandwich Cheese,681000024400,KR SINGLES BOLD BACON (12) 336G 24,24,18.12,5180-VAUDREUIL MC,1/5/2018, 601 , $125.52 , $94.14 , $3.92 ,,,,,,,
Sandwich Cheese,681000024600,KR SGL BOLD SL JALAPENO(12)336G 24,24,18.12,5180-VAUDREUIL MC,1/18/2018," 1,169 ", $125.52 , $94.14 , $3.92 ,,,,,,,
Sandwich Cheese,681000024700,KR SGL BOLD SRIRACHA (12) 336G 24,24,18.12,5180-VAUDREUIL MC,1/13/2018, 826 , $125.52 , $94.14 , $3.92 ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
,,,,,,,  ,  ,  ,  ,,,,,,,
